id,xdeal,ydeal,,,,
10608,0.266745579,0.486736108,,,,
10609,0.622988215,0.538819479,,,,
10615,0.183838627,0.539379142,,,,
10620,0.231765346,0.467637948,,,,
10621,0.784142775,0.004176389,,,,
10625,0.232951234,0.593863701,,,,
10628,0.211728853,0.472505583,,,,
10629,0.235581095,0.479868334,,,,
10630,0.279780944,0.821235349,,,,
10631,0.146937187,0.538881475,,,,
10633,0.133864227,0.557363231,,,,
10634,0.194645614,0.624890671,,,,
10636,0.785380794,0.004313658,,,,
10637,0.666724114,0.314958225,,,,
10638,0.201725548,0.582744665,,,,
10639,0.822177078,0.067351305,,,,
10643,0.245313376,0.721448932,,,,
10648,0.778254451,0.083899081,,,,
10649,0.072304903,0.32026596,,,,
10652,0.224269472,0.513842992,,,,
10653,0.679823138,0.30725819,,,,
10654,0.882353,0.002495832,,,,
10656,0.195890369,0.589869802,,,,
10657,0.203966741,0.548697228,,,,
10659,0.184928202,0.541834678,,,,
10660,0.220159853,0.591373652,,,,
10661,0.163227198,0.609849991,,,,
10662,0.882353,0.002495832,,,,
10663,0.882353,0.002495832,,,,
10665,0.562606698,0.397119412,,,,
10666,0.235941901,0.483949238,,,,
10668,0.161215319,0.517798626,,,,
10669,0.085747038,0.447877398,,,,
10670,0.608283791,0.542323148,,,,
10671,0.632738303,0.601735456,,,,
10672,0.630823025,0.356917241,,,,
10673,0.882353,0.002495832,,,,
10675,0.730632073,0.008785176,,,,
10680,0.610536759,0.549177393,,,,
10682,0.776957199,0.095768136,,,,
10683,0.208847277,0.595674423,,,,
10685,0.077528873,0.33329967,,,,
10686,0.882353,0.002495832,,,,
10687,0.882353,0.002495832,,,,
10688,0.621684347,0.372305224,,,,
10690,0.882353,0.002495832,,,,
10693,0.838100682,0.01806573,,,,
10695,0.882353,0.002495832,,,,
10698,0.218908424,0.614697436,,,,
10701,0.882353,0.002495832,,,,
10702,0.800997674,0.049275732,,,,
10703,0.613461552,0.314174479,,,,
10704,0.207319025,0.500958559,,,,
10705,0.314864951,0.260637955,,,,
10706,0.472147711,0.081870294,,,,
10707,0.649353058,0.368420245,,,,
10708,0.139028956,0.559727118,,,,
10709,0.882353,0.002495832,,,,
10711,0.146349989,0.582182754,,,,
10712,0.677341752,0.321223416,,,,
10713,0.300478086,0.818220363,,,,
10714,0.794139119,0.078835686,,,,
10717,0.817764372,0.0746877,,,,
10719,0.551324854,0.428798117,,,,
10720,0.573371678,0.52200629,,,,
10721,0.739566235,0.355728019,,,,
10722,0.289653487,0.817903132,,,,
10723,0.882353,0.002495832,,,,
