id,xdeal,ydeal
10452,261.6978810217009,121.76993471510588
10455,761.5901976555081,393.50641561515624
10460,730.2818621280326,393.31557446311604
10461,305.6047738184354,141.60767952968104
10463,277.0035815076802,223.8211668071712
10465,457.6613551559596,699.9400366843901
10469,328.62564152491194,630.6795082159144
10473,245.48537789843002,612.6986238762374
10479,281.42073333508733,138.88457606631147
10482,245.94619712763748,609.5271188991469
10484,267.6721711343399,619.5041336458999
10487,338.515537851927,617.5220923219331
10490,272.228763211435,114.51842550921982
10492,257.5272851115798,110.11679853862583
10495,258.70713461952505,119.89586365682332
10500,263.0851016064322,121.12014710852945
10502,242.65070146825144,109.37547081893295
10508,248.12173511698168,107.51764056991756
10509,736.9431250512728,383.86455865196194
10511,434.42151986317066,633.4555652230242
10512,284.81543262573217,121.49907816544822
10516,226.58160354694317,576.3632108175659
10517,253.89896190621388,108.46252579377585
10518,284.29339769759815,124.8238297819778
10522,302.257621677236,161.56460956262436
10526,252.9522104872908,613.7868579850777
10528,308.3090316563429,163.35855704783995
10529,243.73267908519716,609.6625720118095
10532,251.01468636906495,612.1102184054979
10537,764.4859452028568,399.73487116217524
10538,758.1181486835974,409.272440736256
10539,239.77544975446173,592.568655730171
10540,270.65105649912107,633.3239464569938
10545,293.91933560579736,350.2646368400362
10546,263.82212039706303,125.18526537681642
10548,756.8614248315746,410.4456767416535
10551,439.5705622870769,257.98400419943437
10561,264.667165399497,614.4703602838202
10564,284.69478672298806,135.46571747389424
10565,272.5348785466538,109.09043270966067
10567,454.929442436449,641.5896274917845
10571,297.07324267539036,346.23406229642086
10572,259.33525146054603,108.41687698102749
10577,277.8952939382418,113.9042809785416
10578,756.7605389537912,396.91986165667697
10579,253.01951005168007,602.2685075176815
10594,254.42374294657077,111.17782296002171
10601,766.3409261295167,403.7384993861311
10603,285.0478180023345,122.96571038432205
10606,753.5706402563209,387.6699233200098
10607,488.8087702825688,656.2466648419006
10608,241.59039985534486,598.2246824431916
10609,257.15812105912806,113.27073022005972
10615,281.0322725352738,134.14659020957396
10620,285.3661428439365,131.14679240662537
10621,267.8477924835373,112.94118523183651
10628,285.47681841217144,130.56753909636103
10629,282.0711206718702,134.91618324184395
10630,344.25079886149234,616.2071475334086
10631,278.35077709199777,119.43407209416104
10633,281.614732180204,113.16650776318681
10634,280.0367857995625,188.27484854187202
10636,768.3041249480669,403.1083658716722
10638,146.0513828200406,120.18554994113819
10643,266.5765030356433,121.54253807281687
10648,764.5666591427495,402.6224164355349
10649,233.51503156838706,605.7481293260174
10652,470.5315633148548,652.3406337599934
10656,283.66113087277176,125.80789966509272
10657,287.55000989752574,119.55658894086373
10659,282.89540260744764,118.79190628710285
10660,242.85229473166643,600.9057905497431
10661,241.8345514558889,601.244817115041
