id,xdeal,ydeal
17259,468.773517,184.4397344
11950,243.0865094,399.4921268
10621,257.6024748,372.8345018
11952,397.0751688,455.7219438
17222,269.4740038,381.5924202
18553,591.7398096,373.2468064
14196,273.4690932,422.4390104
17223,490.5687912,662.4002876
19887,450.0349838,670.6321622
18556,282.383403,391.644122
19886,301.0508492,276.9381388
14197,539.718343,271.2085266
19882,546.2299122,309.2685064
11919,439.627847,167.791159
11923,281.4166198,383.9098564
11926,564.4992712,587.2471112
11928,518.2642864,627.3828314
18557,222.0163226,765.6186116
17227,246.8967726,383.9382912
19888,376.4741562,358.588667
17228,462.7169046,195.4013498
17233,647.7848004,570.0298398
18564,298.6765434,408.5486106
19895,444.4048934,660.5378082
17234,472.754389,622.8616982
17235,379.6872886,358.5744496
17236,525.358769,324.7086028
19897,281.7009678,366.1523238
18567,565.8214894,583.3088914
18562,452.3808548,627.652962
10601,477.659392,660.7368518
10603,271.1374396,381.4360288
11934,312.1830734,402.7052592
10606,509.1651504,637.9890118
10608,483.7302218,233.6461558
11938,406.1032178,367.6309334
10607,583.3231088,355.1622736
17238,435.7038446,429.1354058
19899,500.8053192,653.670804
17239,308.7708974,292.1365394
11930,443.5234146,195.6999152
19063,461.878078,204.5289206
19060,454.8688998,661.5898958
11107,398.5964306,368.4271078
12439,461.1529906,194.6051754
11100,464.2523838,215.6042752
13763,261.768173,410.9371338
12432,447.7459824,443.1395448
12436,361.7591472,280.5920106
12434,453.418725,179.7053402
13766,585.214023,349.0772264
13770,380.2559846,337.8739152
19078,306.8231136,319.8320346
19079,463.7121226,184.5819084
19076,272.0473532,409.5153938
19072,579.6265848,379.274984
16807,442.8694142,673.077555
12449,675.3239042,404.4966516
12443,474.4746944,203.832268
11111,466.854168,675.9352524
12444,368.327586,329.1159968
13775,514.90898,631.2641816
16804,284.9283176,398.468474
12447,242.4040742,381.4928984
16802,223.9783238,391.6014698
12445,483.9577002,217.8790592
11116,339.6937424,327.1539956
19049,578.9299322,354.1670556
19048,190.7096078,578.7593234
19045,287.3452756,400.5584318
13747,381.5639854,347.14366
13741,266.0476104,706.4315754
12414,487.1423978,651.9931508
13746,293.4587576,675.0111214
13744,280.5777932,399.7338226
12413,380.6398544,347.001486
19056,445.0588938,670.5610752
19051,384.9903788,357.664536
19054,299.1172828,657.9928936
19053,563.7315316,345.5655286
12429,509.6343246,271.7345704
13758,453.9021166,683.5842136
13752,318.4813816,371.7824142
12420,306.7378092,376.0334168
12426,372.8345018,575.3471474
19027,480.1616544,543.6139106
19026,289.7195814,742.2309886
19023,498.061361,636.3540108
19022,368.2849338,321.2964268
10690,496.497447,598.2513788
13727,577.7925402,370.9293702
13728,491.165922,599.3176838
10693,473.6500852,623.7573944
10695,495.2747506,513.131805
13724,485.905484,662.05907
10698,436.571106,188.1789106
19034,287.0893624,716.298451
19036,384.7060308,363.8917572
19031,565.1959238,360.010407
12407,291.3687998,371.1568486
13738,459.4326852,681.3378644
12408,289.847538,359.654972
12405,484.7823094,238.735985
13736,510.7717166,592.9909408
12406,460.6838164,186.9277794
12403,462.1766434,182.5914724
13735,265.3083056,399.250431
12404,395.6676462,367.3750202
12401,437.1682368,471.190475
19005,504.6582346,602.0474246
19007,296.8424988,374.5690246
19006,513.1175876,626.4302656
13705,497.1087952,584.5884574
13709,484.3557874,670.6890318
10670,445.4285462,686.5698676
10673,465.2618192,663.5376796
10672,471.4179534,657.580589
19009,284.3311868,412.2735694
13702,219.4429732,375.8912428
13700,490.810487,661.987983
19012,251.0624708,367.3465854
19011,269.0332644,358.3611886
10680,278.7721834,358.4180582
19010,272.4880926,383.7250302
13714,269.374482,346.574964
10683,412.3020042,373.8581546
10685,450.4899406,188.0936062
19019,396.0941682,370.2327176
10687,504.6866694,646.2208864
11061,565.9920982,317.8984682
16752,463.2002962,663.5803318
15420,265.2087838,367.4603246
12396,316.2065976,390.0517732
16750,452.850029,438.6752812
11065,463.1007744,678.5370366
12394,272.3743534,404.4824342
12399,270.440787,398.4542566
11067,474.4746944,661.6894176
11066,486.9575716,650.7135848
11069,307.4913314,409.1030892
15423,506.520714,541.5239528
11068,242.1055088,387.4073368
12398,521.4063318,266.3746106
15429,408.9751326,370.815631
16759,487.256137,205.7231822
15428,504.0468864,625.3213084
16758,444.0210236,184.212256
16757,466.3707764,206.1923564
11070,489.8721386,652.1921944
14100,113.26743,225.8123684
11074,584.8301532,347.7407908
16763,482.066786,620.4589576
14101,441.262848,174.9567286
15431,316.6046848,356.3707526
16760,425.5668384,180.8569496
14104,492.0047486,224.1915848
15434,445.0873286,184.1838212
16765,312.595378,415.173919
15439,528.7993798,257.8299532
16769,529.3822932,271.6066138
15438,565.6793154,341.6841784
15437,270.2133086,290.2314078
12373,489.7157472,229.636849
12374,264.1424788,743.1977718
11040,459.46112,665.4570286
12372,296.0605418,373.2610238
15409,247.6645122,401.0844756
15408,493.8956628,557.4047886
16734,247.4370338,366.7068024
16733,546.3009992,311.8702906
11044,329.2013012,470.2521266
12375,261.2421292,362.0150604
16732,441.3765872,192.529435
15401,401.240867,379.6446364
11046,444.2342846,184.8093868
16731,250.3373834,401.88065
12376,482.0241338,602.2606856
15407,449.0255484,196.225959
16738,459.2905112,201.3584404
16737,259.6924326,395.0847328
15405,302.8138068,357.522362
11050,482.0525686,600.5972498
15410,511.8238042,595.1235508
16740,332.9831296,319.4055126
11051,499.412014,653.5712822
12383,468.9441258,216.841189
11056,317.9553378,379.8010278
16743,241.4230736,410.3826552
12387,518.676591,260.3179982
11057,553.509221,581.8871514
16747,365.2850624,337.8739152
15416,576.0153652,352.0202282
16746,236.4327662,319.5476866
15415,521.1077664,617.2458252
13682,484.1851786,650.0738018
13683,463.9822532,659.286677
13680,484.6543528,219.258147
11021,370.5028482,308.0315926
16719,313.3204654,360.0246244
16717,555.5849614,306.7235918
12355,507.2600188,245.6598588
11023,428.1970574,409.6149156
13686,444.8456328,660.9643302
16711,444.8314154,175.895077
13687,453.5182468,499.8811882
11025,272.50231,385.2605094
16710,501.686798,649.7183668
13684,464.934819,616.7908684
12359,325.4194728,381.5071158
11026,459.674381,353.2287072
13688,272.50231,385.7723358
12357,525.2734646,281.7578374
11029,338.6558722,335.8976966
16714,445.0731112,692.6833496
11028,251.6453842,726.606066
